|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
İşsiz (Bin)|1. (15+) ve Erkek ve 1. (İşini Kaybetti-Geçici Bir İşte Çalışıyordu,İş Bitti)|2014|889.0|844.0|781.0|665.0|621.0|611.0|703.0|734.0|783.0|769.0|824.0|913.0|
||2015|1004.0|945.0|843.0|710.0|669.0|688.0|690.0|724.0|764.0|816.0|847.0|912.0|
||2016|976.0|946.0|840.0|712.0|693.0|765.0|778.0|815.0|776.0|826.0|902.0|1068.0|
||2017|1180.0|1146.0|986.0|808.0|771.0|716.0|772.0|726.0|748.0|763.0|841.0|886.0|
||2018|933.0|872.0|818.0|762.0|770.0|801.0|833.0|870.0|940.0|989.0|1132.0|1278.0|
||2019|1458.0|1455.0|1372.0|1217.0|1178.0|1130.0|1219.0|1191.0|1192.0|1129.0|1161.0|1261.0|
||2020|1331.0|1305.0|1220.0|1112.0|1056.0|1078.0|1075.0|1037.0|951.0|952.0|975.0||
|1. (15+) ve Erkek ve 10. (İlk Kez İş Arayan-Ev İşleri İle Meşgul)|2014|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2015|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2016|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2017|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2018|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2019|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2020|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8||
|1. (15+) ve Erkek ve 11. (İlk Kez İş Arayan-Diğer)|2014|4.0|6.0|7.0|7.0|3.0|7.0|5.0|7.0|5.0|8.0|7.0|10.0|
||2015|7.0|6.0|4.0|5.0|6.0|5.0|6.0|7.0|7.0|5.0|2.0|2.0|
||2016|2.0|3.0|4.0|5.0|5.0|6.0|6.0|8.0|7.0|6.0|5.0|6.0|
||2017|9.0|10.0|7.0|5.0|3.0|5.0|5.0|4.0|6.0|6.0|6.0|4.0|
||2018|3.0|2.0|2.0|4.0|6.0|5.0|4.0|3.0|2.0|3.0|4.0|5.0|
||2019|5.0|3.0|2.0|2.0|3.0|6.0|10.0|15.0|15.0|11.0|4.0|3.0|
||2020|2.0|3.0|5.0|6.0|7.0|4.0|3.0|4.0|10.0|11.0|10.0||
|1. (15+) ve Erkek ve 2. (İşini Kaybetti-İşten Çıkartıldı)|2014|231.0|229.0|228.0|224.0|209.0|224.0|212.0|218.0|208.0|240.0|255.0|286.0|
||2015|283.0|289.0|269.0|246.0|234.0|237.0|229.0|231.0|213.0|224.0|219.0|255.0|
||2016|275.0|264.0|245.0|262.0|286.0|289.0|265.0|269.0|281.0|279.0|302.0|344.0|
||2017|359.0|351.0|296.0|283.0|243.0|234.0|222.0|219.0|216.0|218.0|226.0|254.0|
||2018|285.0|285.0|270.0|252.0|256.0|230.0|229.0|228.0|253.0|286.0|320.0|407.0|
||2019|442.0|471.0|434.0|414.0|410.0|406.0|419.0|398.0|401.0|395.0|399.0|415.0|
||2020|417.0|449.0|501.0|560.0|582.0|562.0|490.0|451.0|397.0|396.0|406.0||
|1. (15+) ve Erkek ve 3. (İşini Kaybetti-İşyerini Kapattı/İflas Etti)|2014|114.0|126.0|117.0|108.0|100.0|104.0|111.0|109.0|109.0|114.0|122.0|134.0|
||2015|145.0|152.0|143.0|138.0|118.0|113.0|100.0|99.0|104.0|109.0|115.0|134.0|
||2016|138.0|149.0|134.0|123.0|124.0|116.0|137.0|140.0|151.0|165.0|156.0|169.0|
||2017|151.0|152.0|144.0|134.0|134.0|113.0|101.0|92.0|105.0|111.0|106.0|114.0|
||2018|121.0|133.0|126.0|129.0|119.0|108.0|107.0|116.0|115.0|125.0|152.0|178.0|
||2019|187.0|164.0|175.0|149.0|146.0|150.0|162.0|170.0|164.0|167.0|171.0|155.0|
